1 Unit = 1 Developer Iteration 80 % = 8 Workdays ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
media-service,43,phase 1: with local file-store,29,upload,5,media-service front and back,4,,
,,,,,,adoption webapp,1,,
,,,,analyzing,4,API,1,,
,,,,,,scheduler,2,,
,,,,,,analyzer worker,1,,
,,,,,,,,,
,,,,encoding and profiles,11,profiles management,3,,
,,,,,,encoding backend,6,DB,1
,,,,,,,,scheduler,3
,,,,,,,,"update ""sync""",2
,,,,,,vide-video worker (Zencoder),2,,
,,,,,,audio-audio worker (Zencoder),1,,
,,,,,,img-jpg worker (exif),1,,
,,,,,,more workers …,1,,
,,,,,,,,,
,,,,permissions,5,db,1,,
,,,,,,management,2,,
,,,,,,system admin,2,,
,,,,"sweeping, checking",4,,,,
,,,,,,,,,
,,,,,,,,,
,,phase 2: extension to object-store,14,extension upload,4,,,,
,,,,extension encoding,2,,,,
,,,,extension permissions,2,,,,
,,,,"extension sweeping, checking",4,,,,
,,,,changes webapp,1,,,,
,,,,changes API,1,,,,
